idx,algo,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword
217,label,illegal aliens,lawmakers,census bureau,house seats,u.s. constitution,representatives,,,,,,,,,,,,,,
218,multipartiterank,tunnel,speed rail link,high,london,consortium,link,hours,northern england,costs,britain,british industry,transport expert,government,roads,miles,paris,eurotunnel plc,project,traffic,passenger
218,label,cross-channel link,high-speed rail link,total benefits,single market,channel tunnel,added cost,fast rail service,refusal,,,,,,,,,,,,
219,multipartiterank,world bank,poverty,bank,country,loan volume,poverty reduction,mr lewis preston,new drive,staff,strength,directive,operational directive,commitment,efforts,mr preston,today,president,link,loans,part
219,label,third world,world bank,loan volume,poverty relief,poverty alleviation,poverty assessments,bank policies,poverty reduction objectives,,,,,,,,,,,,
220,multipartiterank,census bureau,senate,illegal aliens,state,seats,census,california,population count,illegal immigrants,federal aid,ban,bush administration,illegal residents,house conference committee,new york,next year,unfair,basis,number,partisan lines
220,label,illegal aliens,1990 population count,illegal immigrants,congressional seats,house seats,census bureau,voice vote,prohibition,federal aid,appropriations bill,,,,,,,,,,
221,multipartiterank,fire,acres tuesday,forest fire,acres,firefighters,zion national park,fireworks,wyoming,rain,blaze,july,gusty winds,dawn tuesday,montana,control,weekend,line,lightning,area,utah
221,label,lightning-sparked fire,utah,zion national park,firefighters,forest fire,fire lines,brush fires,,,,,,,,,,,,,
222,multipartiterank,exxon,oil giant,alaskan oil spill,miles,spill,oil,oil company,alaska,boycott,plan,cleanup strategy,tanker exxon valdez,consumers,washington,yost,gas prices,national press club,cleanup,state officials,effect
222,label,alaskan oil spill,boycott exxon,oil company,cleanup strategy,significant environmental disaster,oil industry,fishing industry,tanker exxon valdez,exxon valdez accident,exxon's plan,gas prices,,,,,,,,,
223,multipartiterank,republic,slovenia,federal,slovenian presidency,yugoslavia,constitution,monday,sovereign state,new yugoslav confederation,full sovereignty,serbia,tanjug,yugoslav federation,president,factual authority,milan kucan,country,percent,parliament,state tanjug news agency
223,label,full sovereignty,new yugoslav confederation,slovenian presidency,separatist tendencies,federal goals,yugoslav federation,federal control,milan kucan,serbia,,,,,,,,,,,
224,multipartiterank,diabetes test,hispanics,americans,diabetes,joanne pierluissi,tube,general population,blood,form,daughters,percent,researchers,diets,san antonio,nurse mary perez,forearm,year,sleeve,vein,disease
224,label,diabetes test,minorities,american diabetes association,diabetes studies,hispanic diabetes,diabetic patients,healthy diets,,,,,,,,,,,,,
225,multipartiterank,hurricane chantal,storm,louisiana,winds,lowest hurricane classification,nearby fishing vessel,texas,season,coast guard helicopter,late afternoon,first,monday,rain,water,crew members,national hurricane center,chantal,high waves,strong winds,morgan city
225,label,hurricane chantal,oil drilling work vessel,crew members,rescue divers,hurricane warnings,coastal residents,hurricane staples,hurricane season,coast guard,,,,,,,,,,,
226,multipartiterank,west regions,belgium,channel tunnel,north,new european metropolitan area,veurne,commerce,france,official opening,region,western flanders,pas de calais,west,biggest ports,europe,traffic,development,new,area,courtrai
226,label,official opening,channel tunnel,belgium,western flanders,chunnel,rapid increases,holidaymakers,freight carriers,traffic loads,european metropolitan area,development,,,,,,,,,
227,multipartiterank,third world countries,debts,nation,brazil,countries,part monday,others,west berlin,foreign minister roberto,african brothers,american,poverty,foreign loans,forceful action,western creditors,operators,global development,world,indebted,ghana
227,label,third world countries,brazil,industrialized nations,foreign loans,42nd general assembly,international economic relations,debt restructuring,foreign debt,,,,,,,,,,,,
228,multipartiterank,johnson,world record,record,athletes,carl lewis,year involvement,drugs,time,vice president,canadian inquiry,world championships,sport,week,ollan cassell,ben johnson,steroid use,lewis,frank greenberg,championships,rome
228,label,ben johnson,world record,100-meter dash,carl lewis,steroid use,canadian inquiry,illegal performance-enhancing drugs,world championships,,,,,,,,,,,,
229,multipartiterank,brush,prolonged drought,fire season,fire officials,worst wildfire seasons,bark beetles,mountain,many southern california neighborhoods,trees,los angeles,rare fungus,monday,chaparral,vulnerable fire zones,map,inches,los angeles county fire department,gordon rowley,rainfall,residential areas
229,label,wildfire seasons,southern california neighborhoods,fire officials,vulnerable fire zones,fire prevention regulations,wildfire danger,high fire hazards,fuel source,vulnerable foothills,prolonged drought,rainfall season,,,,,,,,,
230,multipartiterank,marathon runners,world,mile,race,joan benoit samuelson,ingrid kristiansen,seconds,last time ethiopia,abebe mekonnen,juma ikangaa,women,last week,kristiansen,mekonnen,samuelson,marathon,boston marathon,ethiopia,monday,dominant group
230,label,marathon runners,abebe bikila,dominant group,ethiopia,african runners,consecutive olympic gold medals,ingrid kristiansen,race,,,,,,,,,,,,
231,multipartiterank,fire,yellowstone national park,next year,forest floor,yellowstone,year,trees,park,nature,inch lodgepole pine seed,ash,research biologist,forest,tiny seeds,bright yellow flame,seeds,tourist industries,meadow,grasses,recent weeks
231,label,worst fire,firestorm,ash-covered forest floor,scorched hillside,fire damage,rebirth,tiny seeds,,,,,,,,,,,,,
232,multipartiterank,tuberculosis,cases,people,year,aids epidemic,disease,world health organization,immune system,individuals,deadliest infectious disease,new data,number,many years,united nations,bloom,united states,organism,aids,active case,effective drugs
232,label,deadliest infectious disease,world health organization,global tuberculosis,tuberculosis cases,aids epidemic,human immunodeficiency virus,parallel epidemic,,,,,,,,,,,,,
233,multipartiterank,31-mile undersea rail tunnel,officials,tunnel,workers,french colleagues,europe,chunnel,historic linkup,time,english channel,britain,construction consortium,halves,inch probe,tuesday,side,miles,massive boring machines,probe,british terminus
233,label,31-mile undersea rail tunnel,britain,france,english channel,chunnel,historic linkup,channel tunnel project,traffic congestion,continental europe,cost overruns,transmanche link,,,,,,,,,
234,multipartiterank,clarence thomas,successful people,left,affirmative action,nuns,race,people,judge thomas,right,conservative black,love,mother,senators,family,crack,things,kind liberals,heart,lives,pride
234,label,clarence thomas,affirmative action,conservative black,judge thomas,thomas hearings,triumph,conservative jurists,,,,,,,,,,,,,
235,multipartiterank,yasser arafat,plo officials,united states,assassination,american targets,plo,khalil wazir,tuesday,arafat,accusation,state department,wazir,possible plo attacks,abu jihad,palestinian guerrillas,israeli officials,alleged document,washington,facilities,middle eastern countries
235,label,political assassination,plo leader yasser arafat,united states,plo officials,palestinian guerrillas,american targets,khalil wazir,israeli officials,accusations,possible plo attacks,terrorist attacks,israeli squad,,,,,,,,
236,multipartiterank,orange county residents,illegal aliens,county,census,supervisors,thursday,house,count,director,fewer residents,agency officials,actual population,county social services agency,city officials,board,efforts,resolution,senate,letter,federal revenue
236,label,illegal aliens,1990 census,complete count,federal revenue,u.s. senate,census bureau,orange county residents,representatives,,,,,,,,,,,,
237,multipartiterank,canadian ben johnson,drugs,johnson,illegal anabolic steroid,olympics today,american carl lewis,world,canada,olympic,gold medal,track,complete state,canadians,fastest,ben,shock,many athletes,accusation,officials,stanozolol
237,label,canadian ben johnson,olympics,american carl lewis,illegal anabolic steroid,drug use,gold medal,sprinter,100-meter dash,,,,,,,,,,,,
238,multipartiterank,slovenia,military takeover,statement,federal military commanders,official statement,action,plans,republic,police,special warfare,march,part,letter,ways,country,meeting,foreign,yugoslavia,communist government,friday
238,label,federal military commanders,yugoslavia,dissident tendencies,foreign-backed conspiracy,communist government,political dissidents,slovenian communists,slovenia police,ministry statement,,,,,,,,,,,
239,multipartiterank,tornado,several homes,people dead,sheriff joe peavy,madison,tree,high winds,peavy,people,georgia,town,miles,roofs,counties,officials,mobile homes,area,lightning,cars,office
239,label,tornado,destruction,thunderstorms,tornado watches,deaths,madison,,,,,,,,,,,,,,
240,multipartiterank,virginia,nafta,congressman,mr ross perot,florida state university,district,companies,saturday,mr josh greenwood,slaves,passionate opposition,mexican workers,wavering congressmen,mexico,little competition,north american free trade agreement,rally,union members,house,undecided
240,label,north american free trade agreement,demonstrators,judicial system,anti-nafta forces,foreign policy implications,pro-nafta lobbying effort,pro-nafta congressmen,opposition organiser,president bill clinton,passionate opposition,virginia,,,,,,,,,
241,multipartiterank,term limits,years,first congress,constitutional convention,rights bills,members,early civil,henry clay,daniel webster,republicans,medicare,subsequent term,others,florida,revenue raids,social security,good behavior,union,inducements,hamilton
241,label,term limits,term limitations,constitutional convention,subsequent term-limit proposals,frequent re-elections,first congress,natural rights,,,,,,,,,,,,,
242,multipartiterank,chong,evidence,assassination,paek tong,president pak chong,former team member,joint military,prosecution investigation team,hui,martial law commander,prosecution,paek,joint investigating team,hwa,office,assassin kim,army chief,slaying,kyu,october
242,label,joint military-prosecution investigation team,president pak chong-hui,gen. chong sung-hwa,military prosecution,assassination,assassin kim,concrete evidence,criminal evidence,assassination day,,,,,,,,,,,
